suburb,state,postcode,category,details,url
ADELAIDE BC,SA,5000,Delivery Area,PO BOXES,https://auspost.com.au/postcode/adelaide
ADELAIDE LEAD,VIC,3465,Delivery Area,,https://auspost.com.au/postcode/adelaide
ADELAIDE PARK,QLD,4703,Delivery Area,,https://auspost.com.au/postcode/adelaide
ADELAIDE RIVER,NT,0846,Delivery Area,,https://auspost.com.au/postcode/adelaide
BRISBANE ADELAIDE STREET,QLD,4000,Delivery Area,PO BOXES & LOCKED BAGS,https://auspost.com.au/postcode/adelaide
NORTH ADELAIDE,SA,5006,Delivery Area,,https://auspost.com.au/postcode/adelaide
NORTH ADELAIDE MELBOURNE ST,SA,5006,Delivery Area,PO BOXES,https://auspost.com.au/postcode/adelaide
PORT ADELAIDE,SA,5015,Delivery Area,,https://auspost.com.au/postcode/adelaide
ADELAIDE AIRPORT,SA,5950,Delivery Area,,https://auspost.com.au/postcode/adelaide-airport
ADELAIDE BC,SA,5000,Delivery Area,PO BOXES,https://auspost.com.au/postcode/adelaide-bc
ADELAIDE LEAD,VIC,3465,Delivery Area,,https://auspost.com.au/postcode/adelaide-lead
ADELAIDE PARK,QLD,4703,Delivery Area,,https://auspost.com.au/postcode/adelaide-park
ADELAIDE RIVER,NT,0846,Delivery Area,,https://auspost.com.au/postcode/adelaide-river
ADELONG,NSW,2729,Delivery Area,,https://auspost.com.au/postcode/adelong
ADJUNGBILLY,NSW,2727,Delivery Area,,https://auspost.com.au/postcode/adjungbilly
ADVANCETOWN,QLD,4211,Delivery Area,,https://auspost.com.au/postcode/advancetown
ADVENTURE BAY,TAS,7150,Delivery Area,,https://auspost.com.au/postcode/adventure-bay
AEROGLEN,QLD,4870,Delivery Area,,https://auspost.com.au/postcode/aeroglen
AFTERLEE,NSW,2474,Delivery Area,,https://auspost.com.au/postcode/afterlee
AGERY,SA,5558,Delivery Area,,https://auspost.com.au/postcode/agery
AGNES,VIC,3962,Delivery Area,,https://auspost.com.au/postcode/agnes
AGNES BANKS,NSW,2753,Delivery Area,,https://auspost.com.au/postcode/agnes
AGNES WATER,QLD,4677,Delivery Area,,https://auspost.com.au/postcode/agnes
ST AGNES,QLD,4671,Delivery Area,,https://auspost.com.au/postcode/agnes
ST AGNES,SA,5097,Delivery Area,,https://auspost.com.au/postcode/agnes
AGNES BANKS,NSW,2753,Delivery Area,,https://auspost.com.au/postcode/agnes-banks
AGNES WATER,QLD,4677,Delivery Area,,https://auspost.com.au/postcode/agnes-water
AINSLIE,ACT,2602,Delivery Area,,https://auspost.com.au/postcode/ainslie
AINTREE,VIC,3336,Delivery Area,,https://auspost.com.au/postcode/aintree
AIRDMILLAN,QLD,4807,Delivery Area,,https://auspost.com.au/postcode/airdmillan
AIRDS,NSW,2560,Delivery Area,,https://auspost.com.au/postcode/airds
AIRE VALLEY,VIC,3237,Delivery Area,,https://auspost.com.au/postcode/aire-valley
AIREYS INLET,VIC,3231,Delivery Area,,https://auspost.com.au/postcode/aireys-inlet
AIRLIE BEACH,QLD,4802,Delivery Area,,https://auspost.com.au/postcode/airlie-beach
AIRLY,VIC,3851,Delivery Area,,https://auspost.com.au/postcode/airly
AIRPORT WEST,VIC,3042,Delivery Area,,https://auspost.com.au/postcode/airport-west
AIRVILLE,QLD,4807,Delivery Area,,https://auspost.com.au/postcode/airville
AITKENVALE,QLD,4814,Delivery Area,,https://auspost.com.au/postcode/aitkenvale
AJANA,WA,6532,Delivery Area,,https://auspost.com.au/postcode/ajana
AKAROA,TAS,7216,Delivery Area,,https://auspost.com.au/postcode/akaroa
AKOLELE,NSW,2546,Delivery Area,,https://auspost.com.au/postcode/akolele
ALABAMA HILL,QLD,4820,Delivery Area,,https://auspost.com.au/postcode/alabama-hill
ALAWA,NT,0810,Delivery Area,,https://auspost.com.au/postcode/alawa
ALAWOONA,SA,5311,Delivery Area,,https://auspost.com.au/postcode/alawoona
ALBACUTYA,VIC,3424,Delivery Area,,https://auspost.com.au/postcode/albacutya
ALBANVALE,VIC,3021,Delivery Area,,https://auspost.com.au/postcode/albanvale
ALBANY,WA,6330,Delivery Area,,https://auspost.com.au/postcode/albany
ALBANY CREEK,QLD,4035,Delivery Area,,https://auspost.com.au/postcode/albany
ALBANY DC,WA,6331,Post Office Boxes,PO BOXES & BAGS,https://auspost.com.au/postcode/albany
ALBANY PO,WA,6332,Post Office Boxes,PO BOXES,https://auspost.com.au/postcode/albany
PORT ALBANY,WA,6330,Delivery Area,,https://auspost.com.au/postcode/albany
ALBANY CREEK,QLD,4035,Delivery Area,,https://auspost.com.au/postcode/albany-creek
ALBANY DC,WA,6331,Post Office Boxes,PO BOXES & BAGS,https://auspost.com.au/postcode/albany-dc
ALBANY PO,WA,6332,Post Office Boxes,PO BOXES,https://auspost.com.au/postcode/albany-po
PORT ALBANY,WA,6330,Delivery Area,,https://auspost.com.au/postcode/albany-po
ALBERT,NSW,2873,Delivery Area,,https://auspost.com.au/postcode/albert
ALBERT PARK,VIC,3206,Delivery Area,,https://auspost.com.au/postcode/albert
ALBERT PARK,SA,5014,Delivery Area,,https://auspost.com.au/postcode/albert
ALBERTA,QLD,4702,Delivery Area,,https://auspost.com.au/postcode/albert
